stopword,support,pos,neu,neg
being,1561,0.5458039718129404,0.15054452274183217,0.3036515054452274
those,1554,0.4716859716859717,0.21428571428571427,0.31402831402831405
has,1524,0.4625984251968504,0.24671916010498687,0.29068241469816275
off,1479,0.40162271805273836,0.23664638269100743,0.36173089925625423
through,1424,0.46769662921348315,0.1853932584269663,0.34691011235955055
most,1406,0.5960170697012802,0.13726884779516357,0.26671408250355616
nor,1362,0.46402349486049926,0.17180616740088106,0.3641703377386197
too,1350,0.5,0.20592592592592593,0.2940740740740741
whom,1314,0.5007610350076104,0.23820395738203956,0.2610350076103501
just,1274,0.45368916797488223,0.27629513343799056,0.27001569858712715
why,1204,0.29817275747508304,0.4269102990033223,0.2749169435215947
while,1172,0.53839590443686,0.17064846416382254,0.2909556313993174
same,1141,0.4680105170902717,0.27169149868536374,0.26029798422436456
its,1122,0.4964349376114082,0.1586452762923351,0.3449197860962567
under,1044,0.4827586206896552,0.210727969348659,0.3065134099616858
both,1030,0.5019417475728155,0.20485436893203884,0.29320388349514565
herself,906,0.5640176600441501,0.1357615894039735,0.30022075055187636
once,893,0.45352743561030234,0.21500559910414332,0.3314669652855543
myself,728,0.4793956043956044,0.21153846153846154,0.3090659340659341
themselves,727,0.45392022008253097,0.2200825309491059,0.32599724896836313
each,720,0.5555555555555556,0.175,0.26944444444444443
between,718,0.4568245125348189,0.23259052924791088,0.31058495821727017
having,692,0.5838150289017341,0.12283236994219653,0.29335260115606937
does,647,0.43585780525502316,0.3168469860896445,0.2472952086553323
few,641,0.4960998439937597,0.20436817472698907,0.2995319812792512
above,522,0.5478927203065134,0.21839080459770116,0.23371647509578544
until,488,0.3319672131147541,0.3319672131147541,0.3360655737704918
itself,356,0.4550561797752809,0.17134831460674158,0.37359550561797755
yourself,280,0.48214285714285715,0.2714285714285714,0.24642857142857144
doing,256,0.46875,0.2109375,0.3203125
yourselves,216,0.46296296296296297,0.22685185185185186,0.3101851851851852
further,173,0.37572254335260113,0.23699421965317918,0.3872832369942196
yours,145,0.5172413793103449,0.2896551724137931,0.19310344827586207
below,135,0.37777777777777777,0.2740740740740741,0.34814814814814815
ourselves,119,0.5042016806722689,0.16806722689075632,0.3277310924369748
during,117,0.49572649572649574,0.17094017094017094,0.3333333333333333
hers,63,0.8095238095238095,0.06349206349206349,0.12698412698412698
ours,60,0.5666666666666667,0.23333333333333334,0.2
theirs,52,0.6153846153846154,0.1346153846153846,0.25
won,45,0.8222222222222222,0.06666666666666667,0.1111111111111111
d,43,0.3488372093023256,0.46511627906976744,0.18604651162790697
don,25,0.36,0.36,0.28
ma,17,0.5882352941176471,0.4117647058823529,0.0
t,12,0.75,0.16666666666666666,0.08333333333333333
m,12,0.25,0.4166666666666667,0.3333333333333333
haven,7,0.42857142857142855,0.14285714285714285,0.42857142857142855
y,5,0.4,0.2,0.4
ain,5,0.2,0.8,0.0
s,3,0.0,1.0,0.0
