w1,w2,co_count,deg_w1,deg_w2,freq_w1,freq_w2,pmi
o,so,2,84,8016,26,1985,0.8476995119235924
am,myself,2,1088,622,237,129,0.8426746185339243
again,herself,4,2446,554,577,125,0.841484576644133
do,yours,2,6412,106,1363,25,0.8383455347898194
herself,while,4,554,2456,125,680,0.8374046054799791
these,were,168,4996,11462,1573,3284,0.8353430847613881
himself,won,2,2454,278,603,68,0.8346154070530662
do,why,34,6412,1812,1363,404,0.8328119720631966
about,yours,2,6470,106,1815,25,0.8293406691702495
after,while,26,3640,2456,1069,680,0.8266327270871786
ours,were,4,120,11462,27,3284,0.8265743484901057
between,yourself,2,2308,298,730,67,0.8264810392154233
there,was,1350,12496,37186,2728,9815,0.825572851088754
is,theirs,10,36712,94,10109,21,0.8229957320902179
had,he,2022,19956,34986,5133,9548,0.8224184874760848
all,over,150,12068,4304,3001,1236,0.8195870631469028
s,when,2,84,8284,22,2331,0.8148131424066349
during,these,26,1812,4996,585,1573,0.8140816199982862
have,should,152,14646,3618,3942,888,0.8128457866075984
he,whom,62,34986,618,9548,146,0.8125071290704897
as,just,268,25234,3706,7253,872,0.8118954773287342
how,no,70,3092,7902,834,2139,0.811615125142505
not,yours,6,19830,106,4610,25,0.8079334685808834
did,what,102,4532,7954,1044,1908,0.7991884337629129
can,yours,2,6692,106,1772,25,0.7956040244331714
after,few,26,3640,2534,1069,601,0.795367657599675
does,why,10,1968,1812,485,404,0.7901899119957745
nor,than,12,682,6302,195,1790,0.7858190692412804
had,who,422,19956,7574,5133,2252,0.7858080521921872
before,just,38,3676,3706,1016,872,0.7848617225741606
i,yourselves,2,18948,38,5164,8,0.7806713697867927
what,you,282,7954,12790,1908,3286,0.7786224251361495
both,herself,4,2628,554,730,125,0.7697155448510752
is,there,1260,36712,12496,10109,2728,0.7694086488915616
will,your,62,8066,2808,2245,923,0.7660581076958496
nor,too,6,682,3218,195,834,0.7647788112212012
while,yourself,2,2456,298,680,67,0.7643284316889054
an,such,130,10488,4552,3740,1303,0.7607899201372325
are,themselves,44,14886,1086,4394,270,0.7603211379842507
and,between,518,82488,2308,28853,730,0.7599949835295379
are,being,110,14886,2720,4394,712,0.7584812232961456
then,why,26,5290,1812,1380,404,0.7569009701830565
have,you,508,14646,12790,3942,3286,0.7567044894572753
by,haven,2,15406,48,5306,11,0.7539978823132417
he,himself,232,34986,2454,9548,603,0.7531239599617889
nor,themselves,2,682,1086,195,270,0.752425059109276
me,you,168,4874,12790,1181,3286,0.7504393232384191
no,theirs,2,7902,94,2139,21,0.7495452666032211
more,no,182,8558,7902,2215,2139,0.7490781921366094
below,each,4,482,3084,145,877,0.7489317711947512
ourselves,with,18,302,22150,66,7289,0.7489163942023901
how,we,80,3092,9664,834,2652,0.7438547717692192
both,were,80,2628,11462,730,3284,0.7358202271003449
so,theirs,2,8016,94,1985,21,0.7352216260748471
not,yourselves,2,19830,38,4610,8,0.735173850468428
for,t,28,28988,364,9489,77,0.7349778596667985
my,nor,8,4438,682,1318,195,0.731017152348044
theirs,will,2,94,8066,21,2245,0.7290034790471045
again,then,34,2446,5290,577,1380,0.7251421367222141
do,how,52,6412,3092,1363,834,0.7233082569287166
any,or,152,4762,12198,1344,4206,0.7209946833035159
been,m,2,10954,70,2472,16,0.7177560384679433
any,more,106,4762,8558,1344,2215,0.7149587401702667
above,over,12,1072,4304,296,1236,0.714889615769018
am,not,56,1088,19830,237,4610,0.712868505035503
against,up,38,2030,7212,627,1890,0.7128579596855602
have,i,720,14646,18948,3942,5164,0.7124394850341583
is,s,8,36712,84,10109,22,0.7123301625438112
only,yours,2,7276,106,1748,25,0.711935616785412
she,when,224,10440,8284,2860,2331,0.7107294420928068
more,or,270,8558,12198,2215,4206,0.7093373539822583
if,we,220,8814,9664,2198,2652,0.7079324549199613
he,when,748,34986,8284,9548,2331,0.7071829717511879
have,yours,4,14646,106,3942,25,0.7054970038556798
from,ours,4,12970,120,4370,27,0.7029726184992231
will,you,264,8066,12790,2245,3286,0.6986817079529839
so,that,784,8016,38276,1985,10594,0.6972003269388075
over,t,4,4304,364,1236,77,0.6964046717111627
has,who,158,8174,7574,2437,2252,0.6959692332616864
be,to,4942,23252,83344,6377,26158,0.6952115354054075
were,whom,18,11462,618,3284,146,0.6916552396194926
did,they,156,4532,13548,1044,3620,0.69150764396551
is,it,3358,36712,36016,10109,8760,0.6910877960059775
than,those,54,6302,3376,1790,850,0.6904793318780927
did,she,120,4532,10440,1044,2860,0.689737730515812
d,these,2,158,4996,50,1573,0.6887233646371066
had,won,14,19956,278,5133,68,0.6847155095745024
further,we,20,822,9664,218,2652,0.6823933976923536
so,yourself,6,8016,298,1985,67,0.6800355096524056
are,those,126,14886,3376,4394,850,0.6782230700861305
who,yours,2,7574,106,2252,25,0.6717955794688231
me,why,22,4874,1812,1181,404,0.6717501761834328
can,ours,2,6692,120,1772,27,0.6715514773416303
am,very,8,1088,2966,237,796,0.6669399762353823
can,themselves,18,6692,1086,1772,270,0.6660116317957194
her,herself,14,10208,554,3036,125,0.6655300620297032
on,yourselves,2,21292,38,6741,8,0.6640384339679457
her,own,92,10208,3648,3036,772,0.663491690049983
do,i,300,6412,18948,1363,5164,0.6629667722420062
being,yourself,2,2720,298,712,67,0.6622306435702404
each,these,38,3084,4996,877,1573,0.6617750122167663
for,o,6,28988,84,9489,26,0.6608697953180636
s,we,2,84,9664,22,2652,0.6607315714891543
any,nor,8,4762,682,1344,195,0.6605532426773325
both,whom,4,2628,618,730,146,0.6603918180718708
hers,not,4,82,19830,16,4610,0.6591881868134088
a,haven,8,67778,48,23195,11,0.6588119794941362
but,yourself,12,16396,298,4381,67,0.6575848985668977
against,itself,6,2030,1206,627,304,0.6554683764339131
did,you,142,4532,12790,1044,3286,0.6550540135825411
not,why,88,19830,1812,4610,404,0.6547635759262638
she,was,950,10440,37186,2860,9815,0.6539389748770617
having,no,20,1040,7902,279,2139,0.6484495524111474
had,whom,30,19956,618,5133,146,0.6479882491634992
i,me,224,18948,4874,5164,1181,0.6450866282698369
they,where,112,13548,3414,3620,937,0.6434292254896327
now,we,126,5394,9664,1314,2652,0.6416409552890172
again,off,14,2446,2370,577,639,0.6407672066564308
do,so,124,6412,8016,1363,1985,0.6397247006953073
doing,they,28,858,13548,163,3620,0.6381706495078245
we,why,42,9664,1812,2652,404,0.6338846727704155
they,until,56,13548,1724,3620,461,0.6335194909876187
off,then,30,2370,5290,639,1380,0.6315430774374177
d,then,2,158,5290,50,1380,0.6315427545141514
doing,me,10,858,4874,163,1181,0.6308751680444681
your,yourself,2,2808,298,923,67,0.6303900615936274
as,as,1512,25234,25234,7253,7253,0.6238578931366748
what,yours,2,7954,106,1908,25,0.6228419989151334
being,myself,4,2720,622,712,129,0.6195314183300454
are,you,450,14886,12790,4394,3286,0.6192167115968681
are,who,266,14886,7574,4394,2252,0.6174077226994057
into,myself,8,5452,622,1791,129,0.6173280500570297
so,yours,2,8016,106,1985,25,0.6150774070238955
is,this,1530,36712,17712,10109,5145,0.6147308807499681
d,now,2,158,5394,50,1314,0.6120737899139128
doing,what,16,858,7954,163,1908,0.6111188334256309
here,out,66,3218,8762,750,2097,0.6095244139261208
she,while,60,10440,2456,2860,680,0.6092198783519546
which,won,8,12312,278,3561,68,0.6080551480843056
herself,how,4,554,3092,125,834,0.607120578407305
they,when,262,13548,8284,3620,2331,0.606833542627235
each,won,2,3084,278,877,68,0.6061074825775147
she,why,44,10440,1812,2860,404,0.6031677489143302
an,hers,2,10488,82,3740,16,0.6030050604750222
again,down,20,2446,3534,577,895,0.5979017500955499
between,those,18,2308,3376,730,850,0.5963527167708091
has,yours,2,8174,106,2437,25,0.5955585802742908
but,yours,4,16396,106,4381,25,0.5926269043136384
being,into,34,2720,5452,712,1791,0.5888000317988685
or,other,190,12198,6800,4206,1702,0.5878833726529261
m,there,2,70,12496,16,2728,0.5860522311259088
did,how,32,4532,3092,1044,834,0.5848083292516261
about,themselves,16,6470,1086,1815,270,0.5819652732926837
down,up,58,3534,7212,895,1890,0.5813202404837392
t,we,8,364,9664,77,2652,0.5806891543534071
i,you,548,18948,12790,5164,3286,0.5749672050398341
before,him,88,3676,10606,1016,2619,0.5731456442175367
between,these,26,2308,4996,730,1573,0.5721314936348458
about,what,116,6470,7954,1815,1908,0.5717930504401244
had,no,354,19956,7902,5133,2139,0.567705089307692
where,you,98,3414,12790,937,3286,0.5674731524409221
being,by,94,2720,15406,712,5306,0.5669597715115993
as,yours,6,25234,106,7253,25,0.5669371825312005
about,same,48,6470,3338,1815,686,0.5577069847891102
any,such,48,4762,4552,1344,1303,0.5540204737580925
down,through,24,3534,3070,895,971,0.5529997905288028
we,what,170,9664,7954,2652,1908,0.5527697655188343
do,they,192,6412,13548,1363,3620,0.5521391191669168
our,under,18,3892,2096,1252,707,0.5504717149223857
theirs,we,2,94,9664,21,2652,0.5482536690004736
an,having,24,10488,1040,3740,279,0.547655266714165
if,were,222,8814,11462,2198,3284,0.5463527166080182
between,them,38,2308,7502,730,1788,0.5450890642903906
can,where,50,6692,3414,1772,937,0.5422795064742711
d,some,2,158,5784,50,1618,0.5422655786385226
my,whom,6,4438,618,1318,146,0.5418762918953909
have,they,434,14646,13548,3942,3620,0.5416922570626694
because,they,112,3780,13548,883,3620,0.5415898415232929
my,myself,6,4438,622,1318,129,0.5354246580620424
does,your,12,1968,2808,485,923,0.5344702385810454
it,was,2908,36016,37186,8760,9815,0.5343791277987324
above,from,30,1072,12970,296,4370,0.5280862223194314
about,me,68,6470,4874,1815,1181,0.5274705532907129
most,whom,6,4510,618,1159,146,0.52578296648619
by,ourselves,10,15406,302,5306,66,0.5242101763718391
how,they,90,3092,13548,834,3620,0.523806518496524
all,whom,16,12068,618,3001,146,0.5223521086316655
am,doing,2,1088,858,237,163,0.521010862813038
when,you,226,8284,12790,2331,3286,0.5165993576548664
both,these,28,2628,4996,730,1573,0.5163977181750717
before,your,22,3676,2808,1016,923,0.5157986584482989
those,won,2,3376,278,850,68,0.5156434238520305
having,their,18,1040,8146,279,2669,0.5126779261334065
above,him,24,1072,10606,296,2619,0.5061617872666943
during,the,790,1812,206566,585,69971,0.5060356831168168
both,themselves,6,2628,1086,730,270,0.5020889815308812
did,i,180,4532,18948,1044,5164,0.4991490396952071
do,yourself,4,6412,298,1363,67,0.4978387119522039
after,before,28,3640,3676,1069,1016,0.4974495258016126
no,than,104,7902,6302,2139,1790,0.49546187882986004
o,were,2,84,11462,26,3284,0.4901021158985617
if,they,248,8814,13548,2198,3620,0.4899023626448986
about,yourself,4,6470,298,1815,67,0.48883384108424943
had,they,560,19956,13548,5133,3620,0.48722191775233425
against,any,20,2030,4762,627,1344,0.4860826276985055
and,both,448,82488,2628,28853,730,0.4849712223406001
do,ourselves,4,6412,302,1363,66,0.4845051853638847
all,at,432,12068,17364,3001,5372,0.4825230882402445
here,ourselves,2,3218,302,750,66,0.48076907088538884
don,or,2,80,12198,23,4206,0.4766575008898924
am,now,12,1088,5394,237,1314,0.47433215674643525
now,t,4,5394,364,1314,77,0.47066234951647334
can,i,258,6692,18948,1772,5164,0.4694023347692976
does,he,140,1968,34986,485,9548,0.4687305590129921
both,them,40,2628,7502,730,1788,0.4665406100107602
an,theirs,2,10488,94,3740,21,0.46642961714691955
against,his,88,2030,21406,627,6996,0.4646836794383112
we,were,224,9664,11462,2652,3284,0.4632551123242143
its,t,4,5436,364,1858,77,0.46290608037549474
any,having,10,4762,1040,1344,279,0.461750505515012
each,for,180,3084,28988,877,9489,0.45890136125807707
can,only,98,6692,7276,1772,1748,0.45852735008346207
against,himself,10,2030,2454,627,603,0.45588382812002815
doing,you,22,858,12790,163,3286,0.4545839165615664
and,d,26,82488,158,28853,50,0.44965785845771766
he,was,2592,34986,37186,9548,9815,0.4483586493331609
all,these,120,12068,4996,3001,1573,0.4473507453856494
they,what,214,13548,7954,3620,1908,0.4451160510803136
can,itself,16,6692,1206,1772,304,0.4434207332596148
hers,which,2,82,12312,16,3561,0.4426625167911884
not,should,142,19830,3618,4610,888,0.4417636448808548
only,won,4,7276,278,1748,68,0.4409010767480317
been,who,164,10954,7574,2472,2252,0.440494329189298
of,the,43796,107304,206566,36412,69971,0.4400657863154144
all,s,2,12068,84,3001,22,0.4385820429430379
hers,was,6,82,37186,16,9815,0.4359170028812611
have,who,218,14646,7574,3942,2252,0.43466039056639294
have,won,8,14646,278,3942,68,0.43446231273779157
i,when,308,18948,8284,5164,2331,0.43312937285405695
any,at,162,4762,17364,1344,5372,0.43158340697070996
about,d,2,6470,158,1815,50,0.4301850266379325
below,him,10,482,10606,145,2619,0.43003025684324947
any,if,82,4762,8814,1344,2198,0.4287640475074059
or,s,2,12198,84,4206,22,0.42786736685875787
o,or,2,84,12198,26,4206,0.42786736685875787
are,below,14,14886,482,4394,145,0.42750121052418544
because,its,40,3780,5436,883,1858,0.4251658576421125
been,theirs,2,10954,94,2472,21,0.4229567038975288
is,what,566,36712,7954,10109,1908,0.42086937345704717
s,which,2,84,12312,22,3561,0.4185649797776108
doing,itself,2,858,1206,163,304,0.41804297767619675
during,this,62,1812,17712,585,5145,0.41751471474823026
same,the,1332,3338,206566,686,69971,0.41749897148678294
haven,in,6,48,65080,11,21337,0.4117503080808509
its,until,18,5436,1724,1858,461,0.41173498698221905
are,m,2,14886,70,4394,16,0.41103976364750505
can,your,36,6692,2808,1772,923,0.4091875779892629
has,which,192,8174,12312,2437,3561,0.4050165081637695
me,your,26,4874,2808,1181,923,0.4007630016129104
doing,while,4,858,2456,163,680,0.3999653535684999
his,off,96,21406,2370,6996,639,0.39684089562938263
having,his,42,1040,21406,279,6996,0.3938315593952419
this,under,70,17712,2096,5145,707,0.39327601407331847
just,me,34,3706,4874,872,1181,0.3915463503305712
from,hers,2,12970,82,4370,16,0.39059794603501014
on,other,272,21292,6800,6741,1702,0.38960195728546365
because,she,74,3780,10440,883,2860,0.3877504159463363
we,when,150,9664,8284,2652,2331,0.38695562675344125
by,won,8,15406,278,5306,68,0.38387253692891193
down,him,70,3534,10606,895,2619,0.38369890404452006
here,we,58,3218,9664,750,2652,0.3823292343322065
o,you,2,84,12790,26,3286,0.3804757830419937
she,whom,12,10440,618,2860,146,0.3795827784811993
an,as,492,10488,25234,3740,7253,0.3791085976474928
if,your,46,8814,2808,2198,923,0.378881455894263
can,they,168,6692,13548,1772,3620,0.37586617904733294
she,where,66,10440,3414,2860,937,0.3751794496373108
me,to,750,4874,83344,1181,26158,0.3722355497104249
i,what,278,18948,7954,5164,1908,0.37130170043106225
are,which,338,14886,12312,4394,3561,0.37110424382244545
its,with,222,5436,22150,1858,7289,0.3708503073613597
some,them,80,5784,7502,1618,1788,0.3708154136062485
here,now,32,3218,5394,750,1314,0.3707425383481984
because,it,250,3780,36016,883,8760,0.36682754253178945
from,o,2,12970,84,4370,26,0.3665004082824902
over,over,34,4304,4304,1236,1236,0.36632478852938105
a,such,566,67778,4552,23195,1303,0.36584364211000026
had,once,82,19956,2242,5133,499,0.36487498825382564
ourselves,should,2,302,3618,66,888,0.36360780274359866
in,o,10,65080,84,21337,26,0.36296017625189975
why,why,6,1812,1812,404,404,0.36195091672055374
before,yourself,2,3676,298,1016,67,0.3610375175437174
most,our,32,4510,3892,1159,1252,0.35956949419291967
i,just,128,18948,3706,5164,872,0.3594326681978849
nor,we,12,682,9664,195,2652,0.35827852137525357
against,me,18,2030,4874,627,1181,0.3574749107364857
hers,of,16,82,107304,16,36412,0.3570127251421767
no,why,26,7902,1812,2139,404,0.35560334536208166
for,yourselves,2,28988,38,9489,8,0.35548810068923786
against,their,30,2030,8146,627,2669,0.3546884880880605
our,we,68,3892,9664,1252,2652,0.3512308146549484
she,yours,2,10440,106,2860,25,0.3508725376779898
before,they,90,3676,13548,1016,3620,0.35079944707054306
about,doing,10,6470,858,1815,163,0.3476140511658024
has,its,80,8174,5436,2437,1858,0.3470786690253032
my,out,70,4438,8762,1318,2097,0.34692114334986146
below,between,2,482,2308,145,730,0.34563075446587144
doing,our,6,858,3892,163,1252,0.3450413502865783
we,will,140,9664,8066,2652,2245,0.34463100251437606
having,too,6,1040,3218,279,834,0.3428325738007541
t,through,2,364,3070,77,971,0.34112479042247323
most,of,866,4510,107304,1159,36412,0.34097574693780025
further,has,12,822,8174,218,2437,0.3390170420005875
of,some,1108,107304,5784,36412,1618,0.33860437442361513
how,why,10,3092,1812,834,404,0.3383896428600302
am,how,6,1088,3092,237,834,0.3376540573184891
above,under,4,1072,2096,296,707,0.3357913734697665
against,herself,2,2030,554,627,125,0.33475574336622616
but,did,132,16396,4532,4381,1044,0.33365509427897205
your,your,14,2808,2808,923,923,0.3331662549521539
myself,why,2,622,1812,129,404,0.3325849239981067
their,won,4,8146,278,2669,68,0.32795536078793674
has,no,114,8174,7902,2437,2139,0.3271780884534779
just,what,52,3706,7954,872,1908,0.32666955795236524
nor,these,6,682,4996,195,1573,0.32490136767915717
down,here,20,3534,3218,895,750,0.32359575593090384
we,where,58,9664,3414,2652,937,0.3232046596703107
its,under,20,5436,2096,1858,707,0.3217119157531183
down,on,132,3534,21292,895,6741,0.321094050982558
can,nor,8,6692,682,1772,195,0.32030826246335964
ourselves,who,4,302,7574,66,2252,0.31795513956405796
